Year,Country,GDP (in USD),Population,GDP Growth Rate (%),Fertility Rate,"Infant Mortality Rate (per 1,000 live births)","Maternal Mortality Rate (per 100,000 live births)",Agricultural Output (in USD),Active Military Personnel,Reserve Military Personnel,Literacy Rate (%),IT Output (in USD),Number of Tanks,Number of Submarines,Number of Armoured Vehicles
2000,Israel,132.02 billion,"6,049,000",5.18,2.89,5,7.2,5.71 billion,"168,000","445,000",97.1,6.78 billion,"2,760",3,"10,760"
2000,Palestine,4.56 billion,"3,374,000",5.33,5.36,24.6,26,880 million,N/A,N/A,90.3,0.115 billion,N/A,N/A,N/A
2001,Israel,131.02 billion,"6,165,000",-0.47,2.89,4.8,6.7,5.17 billion,"166,500","445,000",97.5,6.89 billion,"2,791",3,"10,814"
2001,Palestine,4.59 billion,"3,400,000",-50,5.22,22.5,24.4,925 million,N/A,N/A,90.8,0.122 billion,N/A,N/A,N/A
2002,Israel,126.64 billion,"6,263,000",-0.35,2.98,4.6,5.9,4.76 billion,"163,000","375,000",97.9,7.02 billion,"2,821",3,"10,885"
2002,Palestine,4.34 billion,"3,421,000",-46.3,5.07,20.2,21.3,914 million,N/A,N/A,91.2,0.132 billion,N/A,N/A,N/A
2003,Israel,129.56 billion,"6,684,000",2.8,2.81,4.3,6.1,5.10 billion,"160,000","445,000",97.9,7.15 billion,"2,819",3,"10,885"
2003,Palestine,3.56 billion,"3,693,000",-16.1,5.15,23,30.9,819 million,N/A,N/A,91.7,0.143 billion,N/A,N/A,N/A
2004,Israel,143.53 billion,"6,830,000",4.5,2.84,4.1,6.8,5.33 billion,"159,000","428,000",97.9,7.36 billion,"2,798",3,"10,886"
2004,Palestine,3.89 billion,"3,791,000",10.5,4.95,21.6,29.4,876 million,N/A,N/A,92.1,0.154 billion,N/A,N/A,N/A
2005,Israel,155.05 billion,"6,925,000",4.97,2.87,3.9,6.4,5.38 billion,"156,000","411,000",98.4,7.69 billion,"2,771",3,"10,876"
2005,Palestine,4.13 billion,"3,890,000",7.6,4.78,19.7,28.1,927 million,N/A,N/A,92.5,0.165 billion,N/A,N/A,N/A
2006,Israel,179.02 billion,"7,112,000",4.6,2.87,3.8,6.1,5.48 billion,"176,500","438,000",97.8,6.90 billion,"2,760",3,"10,634"
2006,Palestine,4.47 billion,"3,762,000",5.8,4.14,18.6,25.4,929 million,N/A,N/A,91.9,0.230 billion,N/A,N/A,N/A
2007,Israel,195.35 billion,"7,295,000",4.9,2.9,3.7,5.9,5.60 billion,"179,900","436,000",97.8,7.20 billion,"2,760",3,"10,634"
2007,Palestine,4.96 billion,"3,865,000",5.3,4.07,17.6,24.3,978 million,N/A,N/A,N/A,N/A,N/A,N/A,N/A
